Mods count: 541
 
jar name                                                                            | mod id (isMCreator)                    | mixin configs
fmlloader-1.20.1-47.4.0.jar (modloader)                                             | forge                                  | 
[1.20.1] SecurityCraft v1.10.0.1.jar                                                | securitycraft                          | securitycraft.mixins.json
[forge]ctov-3.4.14.jar                                                              | ctov                                   | ctov-common.mixins.json, ctov.mixins.json
absentbydesign-1.20.1-1.9.0.jar                                                     | absentbydesign                         | 
Ad-Astra-Giselle-Addon-forge-1.20.1-6.20.jar                                        | ad_astra_giselle_addon                 | ad_astra_giselle_addon.mixin.refmap.json, ad_astra_giselle_addon.mixin.client.json, ad_astra_giselle_addon.mixin.common.json, ad_astra_giselle_addon.mixin.forge.client.json, ad_astra_giselle_addon.mixin.forge.common.json
ad_astra-forge-1.20.1-1.15.20.jar                                                   | ad_astra                               | adastra.mixins.json, adastra-common.mixins.json
    /META-INF/jars/jlayer-1.0.1.jar                                                 |                                        | 
additional_lights-1.20.1-2.1.7.jar                                                  | additional_lights                      | 
AdditionalEnchantedMiner-1.20.1-1201.1.136.jar                                      | quarryplus                             | 
additionallanterns-1.1.2-forge-mc1.20.2.jar                                         | additionallanterns                     | 
addonslib-1.20.1-1.5.jar                                                            | addonslib                              | 
AdvancedAE-1.2.7-1.20.1.jar                                                         | advanced_ae                            | mixins.aae.json, mixins.aae.refmap.json
AdvancedPeripherals-1.20.1-0.7.46r.jar                                              | advancedperipherals                    | 
advgenerators-1.6.0.6-mc1.20.1.jar                                                  | advgenerators                          | assets/advgenerators/blockstates/mixing_chamber.json, assets/advgenerators/models/item/mixing_chamber.json, assets/advgenerators/models/block/mixing_chamber.json
AE2-Things-1.2.1.jar                                                                | ae2things                              | mixins.ae2things.refmap.json, mixins.ae2things.json
ae2insertexportcard-1.20.1-1.3.0.jar                                                | ae2insertexportcard                    | ae2insertexportcard.mixins.json
ae2wtlib-15.3.0-forge.jar                                                           | ae2wtlib                               | ae2wtlib.mixins.refmap.json, ae2wtlib.mixins.json
AEAdditions-1.20.1-5.1.0.jar                                                        | ae2additions                           | ae2additions.mixins.json
AEInfinityBooster-1.20.1-1.0.0+51.jar                                               | aeinfinitybooster                      | AEInfinityBooster.mixins.json
aether-1.20.1-1.5.2-neoforge.jar                                                    | aether                                 | aether.mixins.json
    /META-INF/jarjar/cumulus_menus-1.20.1-1.0.1-neoforge.jar                        | cumulus_menus                          | cumulus_menus.mixins.json
    /META-INF/jarjar/curios-forge-5.6.1+1.20.1.jar                                  | curios                                 | curios.mixins.json
    /META-INF/jarjar/nitrogen_internals-1.20.1-1.0.12-neoforge.jar                  | nitrogen_internals                     | nitrogen_internals.mixins.json
AI-Improvements-1.20-0.5.2.jar                                                      | aiimprovements                         | 
aiotbotania-1.20.1-4.0.6.jar                                                        | aiotbotania                            | 
alchemistry-1.20.1-2.3.4.jar                                                        | alchemistry                            | 
alchemylib-1.20.1-1.0.30.jar                                                        | alchemylib                             | 
allthearcanistgear-1.20.1-20.0.0.jar                                                | allthearcanistgear                     | allthearcanistgear.mixins.json
allthecompressed-1.20.1-3.0.2.jar                                                   | allthecompressed                       | 
alltheleaks-1.0.7+1.20.1-forge.jar                                                  | alltheleaks                            | alltheleaks.mixins.json
allthemodium-1.20.1-47.1.25-2.5.6.jar                                               | allthemodium                           | allthemodium.mixins.json
alltheores-1.20.1-47.1.3-2.2.4.jar                                                  | alltheores                             | 
allthetweaks-1.20.1-47.2.20-2.3.2.jar                                               | allthetweaks                           | allthetweaks.mixins.json
allthewizardgear-1.20.1-1.1.4.jar                                                   | allthewizardgear                       | mixins.allthewizardgear.json
almostunified-forge-1.20.1-0.10.1.jar                                               | almostunified                          | almostunified-common.mixins.json
amendments-1.20-2.2.3.jar                                                           | amendments                             | amendments-common.mixins.json, amendments.mixins.json
angelring-1.20.1-2.3.1.jar                                                          | angelring                              | 
Apotheosis-1.20.1-7.4.8.jar                                                         | apotheosis                             | apotheosis.mixins.json
ApothicAttributes-1.20.1-1.3.7.jar                                                  | attributeslib                          | attributeslib.mixins.json
appleskin-forge-mc1.20.1-2.5.1.jar                                                  | appleskin                              | 
applied-botanics-forge-1.5.1.jar                                                    | appbot                                 | appbot.mixins.json
Applied-Mekanistics-1.4.2.jar                                                       | appmek                                 | 
applied_ammo_box-1.2.1.jar                                                          | applied_ammo_box                       | applied_ammo_box.aeinfinitybooster.mixins.json, applied_ammo_box.sentrymechanicalarm.mixins.json, applied_ammo_box.mixins.json
appliede-0.14.3.jar                                                                 | appliede                               | appliede.mixins.json
appliedenergistics2-forge-15.4.9.jar                                                | ae2                                    | ae2.mixins.refmap.json, ae2.mixins.json
AppliedFlux-1.20-1.3.4-forge.jar                                                    | appflux                                | mixins.appflux.refmap.json, mixins.appflux.json
Aquaculture-1.20.1-2.5.5.jar                                                        | aquaculture                            | 
architectury-9.2.14-forge.jar                                                       | architectury                           | architectury.mixins.json, architectury-common.mixins.json
ars_creo-1.20.1-4.3.0.jar                                                           | ars_creo                               | ars_creo.mixins.json
ars_elemental-1.20.1-0.6.7.8.jar                                                    | ars_elemental                          | ars_elemental.mixins.json
ars_nouveau-1.20.1-4.12.7-all.jar                                                   | ars_nouveau                            | ars_nouveau.mixins.json
    /META-INF/jarjar/geckolib-forge-1.20.1-4.4.4.jar                                | geckolib                               | geckolib.mixins.json
        /META-INF/jarjar/mclib-20.jar                                               |                                        | 
ars_ocultas-1.20.1-1.2.2-all.jar                                                    | ars_ocultas                            | 
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |                                        | 
arseng-1.2.0.jar                                                                    | arseng                                 | arseng.mixins.json
artifacts-forge-9.5.16.jar                                                          | artifacts                              | mixins.artifacts.forge.json, mixins.artifacts.common.json
    /META-INF/jars/expandability-forge-9.0.4.jar                                    | expandability                          | expandability.mixins.json, expandability-common.mixins.json
ashvehicle-1.20.1-4.5-8.8.jar                                                       | ashvehicle                             | ashvehicle.mixins.json
ashvehicle-1.21.1-4.5.1-8.8.jar                                                     | ashvehicle                             | ashvehicle.mixins.json
athena-forge-1.20.1-3.1.2.jar                                                       | athena                                 | athena-forge.mixins.json, athena.mixins.json
AttributeFix-Forge-1.20.1-21.0.4.jar                                                | attributefix                           | attributefix.mixins.json
BadOptimizations-2.4.1-1.20.1.jar                                                   | badoptimizations                       | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json
balm-forge-1.20.1-7.3.37-all.jar                                                    | balm                                   | balm.mixins.json
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                              | kuma_api                               | kuma_api.forge.mixins.json, kuma_api.mixins.json
BambooEverything-forge-3.0.3+mc1.20.1.jar                                           | bambooeverything                       | 
baubley-heart-canisters-1.20.1-1.1.1.jar                                            | bhc                                    | 
bdlib-1.27.0.8-mc1.20.1.jar                                                         | bdlib                                  | 
Better_Trial_Chambers-1.2.1-forge-1.20.1.jar                                        | minecraft_121_update (MCreator mod)    | 
BetterAdvancements-Forge-1.20.1-0.4.2.25.jar                                        | betteradvancements                     | 
BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar                                 | bcc                                    | bcc.mixins.json, bcc.forge.mixins.json
BetterF3-7.0.2-Forge-1.20.1.jar                                                     | betterf3                               | betterf3.mixins.json, betterf3.forge.mixins.json
betterp2p-1.5.0-forge.jar                                                           | betterp2p                              | betterp2p-common.mixins.json, betterp2p.mixins.json
BiomesOPlenty-forge-1.20.1-19.0.0.96.jar                                            | biomesoplenty                          | biomesoplenty.mixins.json, biomesoplenty.forge.mixins.json
blockui-1.20.1-1.0.194.jar                                                          | blockui                                | 
bloodmagic-1.20.1-3.3.3-45.jar                                                      | bloodmagic                             | bloodmagic.mixins.json
blue_skies-1.20.1-1.3.31.jar                                                        | blue_skies                             | blue_skies.mixins.json
blueflame-1.20.0-1.0.3.jar                                                          | blueflame                              | blueflame.mixin.json
BonsaiTrees3-1.20.1-3.3.2.jar                                                       | bonsaitrees3                           | 
Bookshelf-Forge-1.20.1-20.2.13.jar                                                  | bookshelf                              | bookshelf.forge.mixins.json, bookshelf.common.mixins.json
Botania-1.20.1-450-FORGE.jar                                                        | botania                                | botania_forge.mixins.json, botania_xplat.mixins.json
BotanyPots-Forge-1.20.1-13.0.41.jar                                                 | botanypots                             | 
BotanyTrees-Forge-1.20.1-9.0.19.jar                                                 | botanytrees                            | 
botarium-forge-1.20.1-2.3.4.jar                                                     | botarium                               | 
BrandonsCore-1.20.1-3.2.1.302-universal.jar                                         | brandonscore                           | mixins.brandonscore.json, mixins.brandonscore.refmap.json
buildinggadgets2-1.0.8.jar                                                          | buildinggadgets2                       | 
bwncr-forge-1.20.1-3.17.2.jar                                                       | bwncr                                  | 
cable_facades-1.20.1-Forge-1.3.4.jar                                                | cable_facades                          | cable_facades.mixins.json
cabletiers-1.20.1-1.2.2.jar                                                         | cabletiers                             | cabletiers.mixins.json
caelus-forge-3.2.0+1.20.1.jar                                                       | caelus                                 | caelus.mixins.json
caupona-1.20.1-0.4.13.jar                                                           | caupona                                | caupona.mixins.json
CBMultipart-1.20.1-3.3.0.146-universal.jar                                          | cb_multipart                           | mixins.cbmultipart.json, mixins.cbmultipart.refmap.json
cc-tweaked-1.20.1-forge-1.113.1.jar                                                 | computercraft                          | 
    /META-INF/jarjar/cobalt-0.9.3.jar                                               |                                        | 
    /META-INF/jarjar/jzlib-1.1.3.jar                                                |                                        | 
cc-tweaked-1.20.1-forge-1.116.1.jar                                                 | computercraft                          | 
    /META-INF/jarjar/cobalt-0.9.6.jar                                               |                                        | 
    /META-INF/jarjar/jzlib-1.1.3.jar                                                |                                        | 
cfm-forge-1.20.1-7.0.0-pre36.jar                                                    | cfm                                    | cfm.mixins.json
charginggadgets-1.11.0.jar                                                          | charginggadgets                        | 
charmofundying-forge-6.5.0+1.20.1.jar                                               | charmofundying                         | charmofundying.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                            | spectrelib                             | 
chemlib-1.20.1-2.0.19.jar                                                           | chemlib                                | 
ChickenChunks-1.20.1-2.10.0.100-universal.jar                                       | chickenchunks                          | 
Chimes-v2.0.1-1.20.1.jar                                                            | chimes                                 | 
chipped-forge-1.20.1-3.0.7.jar                                                      | chipped                                | chipped-common.mixins.json
cleanswing-1.20-1.8.jar                                                             | cleanswing                             | 
clickadv-1.20.1-3.8.jar                                                             | clickadv                               | clickadv.mixins.json
cloth-config-11.1.136-forge.jar                                                     | cloth_config                           | 
Clumps-forge-1.20.1-12.0.0.4.jar                                                    | clumps                                 | clumps.mixins.json
cobweb-forge-1.20.1-1.0.1.jar                                                       | cobweb                                 | cobweb.mixins.json, cobweb.forge.mixins.json
CodeChickenLib-1.20.1-4.4.0.516-universal.jar                                       | codechickenlib                         | mixins.codechickenlib.refmap.json, mixins.codechickenlib.json
cofh_core-1.20.1-11.0.2.56.jar                                                      | cofh_core                              | mixins.cofhcore.json, mixins.cofhcore.refmap.json
colorfulhearts-forge-1.20.1-4.3.16.jar                                              | colorfulhearts                         | colorfulhearts-common.mixins.json, colorfulhearts-forge.mixins.json
colorwheel-forge-1.0.0+mc1.20.1.jar                                                 | colorwheel                             | colorwheel.mixins.json, colorwheel.forge.mixins.json
comforts-forge-6.4.0+1.20.1.jar                                                     | comforts                               | comforts.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                            | spectrelib                             | 
CommonCapabilities-1.20.1-2.9.9.jar                                                 | commoncapabilities                     | 
configuration-forge-1.20.1-3.1.0.jar                                                | configuration                          | configuration.mixins.json
connectedglass-1.1.14-forge-mc1.20.1.jar                                            | connectedglass                         | 
connectivity-1.20.1-7.2.jar                                                         | connectivity                           | connectivity.mixins.json
constructionwand-1.20.1-2.11.jar                                                    | constructionwand                       | 
Controlling-forge-1.20.1-12.0.2.jar                                                 | controlling                            | controlling.mixins.json, controlling.forge.mixins.json
cookingforblockheads-forge-1.20.1-16.0.14.jar                                       | cookingforblockheads                   | cookingforblockheads.mixins.json
corail_woodcutter-1.20.1-3.0.6.jar                                                  | corail_woodcutter                      | 
CorgiLib-forge-1.20.1-4.0.1.3.jar                                                   | corgilib                               | corgilib.forge.mixins.json, corgilib.mixins.json
corn_delight-1.1.9-1.20.1.jar                                                       | corn_delight                           | 
cosmeticarmorreworked-1.20.1-v1a.jar                                                | cosmeticarmorreworked                  | 
crafting-on-a-stick-1.20.1-1.1.5.jar                                                | crafting_on_a_stick                    | 
craftingtweaks-forge-1.20.1-18.2.6.jar                                              | craftingtweaks                         | craftingtweaks.mixins.json
CrashAssistant-forge-1.19-1.20.1-1.10.10.jar                                        | crash_assistant                        | 
    /META-INF/jarjar/app.jar                                                        |                                        | 
    /META-INF/jarjar/crash_assistant-forge.jar                                      | crash_assistant                        | crash_assistant.mixins.json, crash_assistant-forge.mixins.json
crashutilities-8.1.4.jar                                                            | crashutilities                         | 
create-1.20.1-6.0.6.jar                                                             | create                                 | create.mixins.json
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.80.jar                                 | ponder                                 | ponder-common.mixins.json, ponder.mixins.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                                    |                                        | 
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.4.jar                                | flywheel                               | flywheel.impl.mixins.json, flywheel.backend.mixins.json
create-new-age-forge-1.20.1-1.1.4.jar                                               | create_new_age                         | create_new_age.mixins.json, create.mixins.json
create_enchantment_industry-1.3.3-for-create-6.0.6.jar                              | create_enchantment_industry            | create_enchantment_industry.mixins.json
create_jetpack-forge-4.4.2.jar                                                      | create_jetpack                         | 
    /META-INF/jarjar/flightlib-forge-2.1.0.jar                                      | flightlib                              | flightlib.mixins.json
createaddition-1.20.1-1.3.2.jar                                                     | createaddition                         | createaddition.mixins.json
createoreexcavation-1.20-1.6.4.jar                                                  | createoreexcavation                    | 
creeperoverhaul-3.0.2-forge.jar                                                     | creeperoverhaul                        | creeperoverhaul-common.mixins.json
    /META-INF/jars/resourcefullib-forge-1.20.1-2.1.20.jar                           | resourcefullib                         | 
        /META-INF/jars/yabn-1.0.3.jar                                               | com_teamresourceful_yabn               | 
        /META-INF/jars/bytecodecs-1.0.2.jar                                         | com_teamresourceful_bytecodecs         | 
cristellib-1.1.6-forge.jar                                                          | cristellib                             | cristellib.mixins.json, cristellib-common.mixins.json
    /META-INF/jars/jankson-1.2.3.jar                                                |                                        | 
Croptopia-1.20.1-FORGE-3.0.4.jar                                                    | croptopia                              | croptopia.mixins.json
crystalix-1.3.5_forge_1.20.1.jar                                                    | crystalix                              | 
Cucumber-1.20.1-7.0.15.jar                                                          | cucumber                               | cucumber.mixins.json
cupboard-1.20.1-2.7.jar                                                             | cupboard                               | cupboard.mixins.json
curios-forge-5.14.1+1.20.1.jar                                                      | curios                                 | curios.mixins.json
curios_for_ammo_box-1.20.1-1.1.0.jar                                                | curios_for_ammo_box                    | curios_for_ammo_box.mixins.json, curios_for_ammo_box.taczaddon.mixins.json
Cyclic-1.20.1-1.13.6.jar                                                            | cyclic                                 | 
CyclopsCore-1.20.1-1.21.1.jar                                                       | cyclopscore                            | 
daffas_arsenal-3.2.0.jar                                                            | daffas_arsenal                         | 
dankstorage-forge-1.20.1-15.jar                                                     | dankstorage                            | dankstorage.forge.mixins.json, dankstorage.mixins.json
DarkModeEverywhere-1.20.1-1.2.4.jar                                                 | darkmodeeverywhere                     | darkmodeeverywhere.mixins.json
DarkPaintings-Forge-1.20.1-17.0.5.jar                                               | darkpaintings                          | 
DarkUtilities-Forge-1.20.1-17.0.5.jar                                               | darkutils                              | darkutils.mixins.json
deeperdarker-forge-1.20.1-1.3.3.jar                                                 | deeperdarker                           | mixins.deeperdarker.json, mixins.deeperdarker.refmap.json
deepresonance-1.20-5.0.4.jar                                                        | deepresonance                          | 
DefaultSettings-1.20.x-4.0.7-Forge.jar                                              | defaultsettings                        | 
Delightful-1.20.1-3.7.6.jar                                                         | delightful                             | 
DeltaForce Melee Pack-0.1.0.jar                                                     | delta_wt                               | 
DimStorage-1.20.1-8.0.1.jar                                                         | dimstorage                             | 
Ding-1.20.1-Forge-1.4.1.jar                                                         | ding                                   | ding.mixins.json
domum_ornamentum-1.20.1-1.0.291-snapshot-universal.jar                              | domum_ornamentum                       | 
Draconic-Evolution-1.20.1-3.1.2.621-universal.jar                                   | draconicevolution                      | mixins.draconicevolution.json, mixins.draconicevolution.refmap.json
dragonrise_reforge-1.3.0.jar                                                        | dragonrise_reforge                     | dragonrise_reforge.mixins.json
drone_detector-1.1.0.jar                                                            | drone_detector                         | 
Dungeon Crawl-1.20.1-2.3.15.jar                                                     | dungeoncrawl                           | 
DungeonsArise-1.20.x-2.1.58-release.jar                                             | dungeons_arise                         | 
durabilitytooltip-1.1.6-forge-mc1.20.jar                                            | durabilitytooltip                      | 
dyenamics-1.20.1-3.2.0.jar                                                          | dyenamics                              | 
dyenamicsandfriends-1.20.1-1.9.3.jar                                                | dyenamicsandfriends                    | 
dynamic-fps-3.11.4+minecraft-1.20.0-forge.jar                                       | dynamic_fps                            | dynamic_fps-common.mixins.json, dynamic_fps.mixins.json
    /META-INF/jars/battery-2.0.0.jar                                                |                                        | 
easy-villagers-forge-1.20.1-1.1.35.jar                                              | easy_villagers                         | 
easy_mob_farm-forge-1.20.1-10.6.0.jar                                               | easy_mob_farm                          | 
eccentrictome-1.20.1-1.10.3.jar                                                     | eccentrictome                          | 
EdivadLib-1.20.1-2.0.1.jar                                                          | edivadlib                              | 
efs_tacz-1.0.1.jar                                                                  | efs_tacz                               | efs_tacz.mixins.json
eidolon_repraised-1.20.1-0.3.9.1-alpha.jar                                          | eidolon                                | eidolon.mixins.json
elevatorid-1.20.1-1.9.1-forge.jar                                                   | elevatorid                             | 
Elite X Quality Guns Forge v4.2 - 1.20.1.jar                                        | elitex                                 | elitex.mixins.json
elytraslot-forge-6.4.4+1.20.1.jar                                                   | elytraslot                             | elytraslot-forge-integrations.mixins.json, elytraslot-integrations.mixins.json
embeddium-0.3.31+mc1.20.1.jar                                                       | embeddium                              | embeddium.mixins.json
emc-interface-1.20.1.1.jar                                                          | emc_interface                          | 
emcbaubles-1.3.1.jar                                                                | emcbaubles                             | 
EnchantableBlocks-1.20.1-0.0.7.jar                                                  | enchantableblocks                      | enchantableblocks.mixins.json
Enchanted Menu 1.20.1-1.0.jar                                                       | enchanted_menu_1_20_1                  | 
EnchantingInfuser-v8.0.3-1.20.1-Forge.jar                                           | enchantinginfuser                      | 
enderchests-forge-1.20.1-1.4.jar                                                    | enderchests                            | mixins.shetiphiancore.json
EnderIO-1.20.1-6.2.15-beta-all.jar                                                  | enderio                                | mixins.enderio.json, mixins.enderio-machines.json, mixins.enderio-machines.refmap.json, mixins.enderio.refmap.json
    /META-INF/jarjar/GraphLib3-3.0.7.jar                                            |                                        | 
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |                                        | 
    /META-INF/jarjar/checker-qual-3.33.0.jar                                        |                                        | 
    /META-INF/jarjar/error_prone_annotations-2.18.0.jar                             |                                        | 
    /META-INF/jarjar/failureaccess-1.0.1.jar                                        |                                        | 
    /META-INF/jarjar/guava-32.1.2-jre.jar                                           |                                        | 
    /META-INF/jarjar/jsr305-3.0.2.jar                                               |                                        | 
    /META-INF/jarjar/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar |                                        | 
Enderite.jar                                                                        | monkes_projecte_upgrades               | 
endermanoverhaul-forge-1.20.1-1.0.4.jar                                             | endermanoverhaul                       | endermanoverhaul.mixins.json, endermanoverhaul-common.mixins.json
endersdelight-forge-1.20.1-1.1.3.jar                                                | endersdelight                          | 
EnderStorage-1.20.1-2.11.0.188-universal.jar                                        | enderstorage                           | 
endertanks-forge-1.20.1-1.5.jar                                                     | endertanks                             | mixins.endertanks.refmap.json, mixins.endertanks.json, mixins.shetiphiancore.json
endlessammo-1.2.0.jar                                                               | endlessammo                            | 
ends_delight-2.5.1+forge.1.20.1.jar                                                 | ends_delight                           | 
energymeter-forge-1.20.1-1.0.0.jar                                                  | energymeter                            | 
ensorcellation-1.20.1-5.0.2.24.jar                                                  | ensorcellation                         | mixins.ensorcellation.refmap.json, mixins.ensorcellation.json
entangled-1.3.20-forge-mc1.20.4.jar                                                 | entangled                              | 
entityculling-forge-1.9.0-mc1.20.1.jar                                              | entityculling                          | entityculling.mixins.json, entityculling.refmap.mixins.json
    /META-INF/jars/TRansition-1.0.5-1.20.1-forge-SNAPSHOT.jar                       | transition                             | transition.mixins.json, transition.refmap.mixins.json
    /META-INF/jars/TRender-1.0.7-1.20.1-forge-SNAPSHOT.jar                          | trender                                | trender.mixins.json, trender.refmap.mixins.json
EpheroLib-1.20.1-FORGE-1.2.0.jar                                                    | epherolib                              | epherolib-root.mixins.json, epherolib.mixins.json
epic-fight-20.14.11-mc1.20.1-forge.jar                                              | epicfight                              | mixins.epicfight.refmap.json, mixins.epicfight.json
Essential_1-4-0-3_forge_1-20-1.jar                                                  | essential-container                    | 
EuphoriaPatcher-1.7.2-r5.6.1-forge.jar                                              | euphoria_patcher                       | 
